# Fixture — Formato esperado por import-fixture.ts
#
# Columnas:
#   categoria        → nombre exacto de la categoría en Supabase (case-sensitive)
#   fase             → "regular" | "quarterfinal" | "semifinal" | "final"
#   fecha_numero     → número entero de la fecha (1, 2, 3...)
#   fecha_nombre     → nombre legible de la fecha ("Fecha 1", "Cuartos de final", etc.)
#   equipo_local     → nombre del equipo local (debe existir en esa categoría)
#   equipo_visitante → nombre del equipo visitante (debe existir en esa categoría)
#   dia              → fecha en formato YYYY-MM-DD
#   hora             → hora en formato HH:MM (usar hora de inicio del partido)
#
# Reglas:
#   - Los equipos DEBEN existir antes de importar el fixture.
#     Si no existen, el importador falla con un error claro.
#   - Importar primero las listas de buena fe, luego el fixture.
#   - Los nombres de equipos deben coincidir exactamente con los importados.
#   - No se crean series duplicadas (mismo round + mismo par de equipos).
#   - Se puede omitir "hora" si todavía no está definida.
#
categoria,fase,fecha_numero,fecha_nombre,equipo_local,equipo_visitante,dia,hora
Caballeros A,regular,1,Fecha 1,Los Halcones,Drop Shot,2026-07-10,20:00
Caballeros A,regular,1,Fecha 1,Saque y Volea,Polvo de Ladrillo,2026-07-10,20:00
Caballeros A,regular,2,Fecha 2,Drop Shot,Saque y Volea,2026-07-17,20:00
Caballeros A,regular,2,Fecha 2,Polvo de Ladrillo,Los Halcones,2026-07-17,20:00
Caballeros A,regular,3,Fecha 3,Los Halcones,Saque y Volea,2026-07-24,20:00
Caballeros A,regular,3,Fecha 3,Drop Shot,Polvo de Ladrillo,2026-07-24,20:00
Caballeros B,regular,1,Fecha 1,Red Alta,Los Pibes,2026-07-11,20:00
Caballeros B,regular,1,Fecha 1,Smash,Globeros,2026-07-11,20:00
Caballeros B,regular,2,Fecha 2,Los Pibes,Smash,2026-07-18,20:00
Caballeros B,regular,2,Fecha 2,Globeros,Red Alta,2026-07-18,20:00
Damas A,regular,1,Fecha 1,Las Tigras,Volea Fina,2026-07-12,10:00
Damas A,regular,1,Fecha 1,Slice,Las Águilas,2026-07-12,10:00
Damas A,regular,2,Fecha 2,Volea Fina,Slice,2026-07-19,10:00
Damas A,regular,2,Fecha 2,Las Águilas,Las Tigras,2026-07-19,10:00
Mixto A,regular,1,Fecha 1,Match Point,Dúo Dinámico,2026-07-13,11:00
Mixto A,regular,1,Fecha 1,Ace,Tie Break,2026-07-13,11:00
Mixto A,regular,2,Fecha 2,Dúo Dinámico,Ace,2026-07-20,11:00
Mixto A,regular,2,Fecha 2,Tie Break,Match Point,2026-07-20,11:00
